ST,Region
AK,None
AL,East South Central
AR,West South Central
AZ,Mountain
CA,Pacific
CO,Mountain
CT,New England
DC,South Atlantic
DE,South Atlantic
FL,South Atlantic
GA,South Atlantic
HI,None
IA,West North Central
ID,Mountain
IL,East North Central
IN,East North Central
KS,West North Central
KY,East South Central
LA,West South Central
MA,New England
MD,Middle Atlantic
ME,New England
MI,East North Central
MN,West North Central
MO,West North Central
MS,East South Central
MT,Mountain
NC,South Atlantic
ND,West North Central
NE,West North Central
NH,New England
NJ,Middle Atlantic
NM,Mountain
NV,Mountain
NY,Middle Atlantic
OH,East North Central
OK,West South Central
OR,Pacific
PA,Middle Atlantic
RI,New England
SC,South Atlantic
SD,West North Central
TN,East South Central
TX,West South Central
UT,Mountain
VA,Middle Atlantic
VT,New England
WA,Pacific
WI,East North Central
WV,South Atlantic
WY,Mountain
